0,1
"('ecoinvent-3.4-biosphere', '7a2d5b3a-aac7-4a82-a990-0f4e1501db0b')",Radon-220
"('ecoinvent-3.4-biosphere', 'e3de5903-aa75-4d7b-a804-2c75248b4c6d')",Tellurium-123m
"('ecoinvent-3.4-biosphere', '959d46ab-6a28-48da-9584-7aa4909230f7')",Krypton-87
"('ecoinvent-3.4-biosphere', 'c56df4f7-c9e9-4892-a045-4b2fb93ff297')","Actinides, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', 'e49fc1ed-4bf5-4ec2-88b1-29ff979b37b8')",Krypton-87
"('ecoinvent-3.4-biosphere', '0ee028c3-80c7-4377-97b1-81f1a732be2c')",Cerium-141
"('ecoinvent-3.4-biosphere', 'ac98d2a4-4985-49f9-b4e2-fc896ef145b6')",Uranium-234
"('ecoinvent-3.4-biosphere', '73cba245-5969-4076-8490-75a236073196')","Transformation, from permanent crop, irrigated"
"('ecoinvent-3.4-biosphere', '3ef6e30a-9742-48c8-adcd-48e38148004c')",Plutonium-alpha
"('ecoinvent-3.4-biosphere', '8bb37e69-9292-4af4-ba62-a55f00ac8f16')",Polonium-210
"('ecoinvent-3.4-biosphere', 'a53100b0-d453-4dad-b885-3728482d5c55')",Niobium-95
"('ecoinvent-3.4-biosphere', '0a2b3be6-e2b5-4878-a472-7deab6efc47d')",Sodium-24
"('ecoinvent-3.4-biosphere', '6402a177-ff01-4112-8c54-9061b756c8c9')",Tellurium-123m
"('ecoinvent-3.4-biosphere', 'c7cb5880-4219-4051-9357-10fdd08c6f2b')","Occupation, unspecified"
"('ecoinvent-3.4-biosphere', '0bd4b5ea-feb6-47d4-a657-c5b33b26fded')",Iodine-129
"('ecoinvent-3.4-biosphere', '521cd1c6-03bb-4608-8f6f-8bc289a11306')",Uranium-234
"('ecoinvent-3.4-biosphere', '18636f13-f552-4136-a353-3b5a8e5f87d1')","Occupation, permanent crop, non-irrigated"
"('ecoinvent-3.4-biosphere', 'e62cf4c6-73a6-42b8-b0da-88aeac40e6ae')",Cesium-137
"('ecoinvent-3.4-biosphere', 'f6df5030-8e06-4276-bfeb-219db8dab104')","Volume occupied, final repository for low-active radioactive waste"
"('ecoinvent-3.4-biosphere', '7b87ce50-ede0-40fa-a3ee-5f72553af0e7')",Cesium-137
"('ecoinvent-3.4-biosphere', 'bd64a010-0115-47ca-942f-cbdac1d26b87')","Noble gases, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', '7529a948-b5ac-4eb9-8349-2a3677b8fe14')",Chromium-51
"('ecoinvent-3.4-biosphere', '7bf443c4-fb77-459f-ba07-63283e4559ba')",Ruthenium-103
"('ecoinvent-3.4-biosphere', 'f157b88d-f288-473c-8b03-0f97b58235ff')","Transformation, to urban/industrial fallow (non-use)"
