0,1
"('ecoinvent-3.4-biosphere', '5666353e-2db2-41d3-8414-404709151422')","Metamorphous rock, graphite containing, in ground"
"('ecoinvent-3.4-biosphere', 'd3260d0e-8203-4cbb-a45a-6a13131a5108')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', 'd3260d0e-8203-4cbb-a45a-6a13131a5108')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', 'd3260d0e-8203-4cbb-a45a-6a13131a5108')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'f228fcae-8e19-4a73-9d8c-60ec8adaea50')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'f228fcae-8e19-4a73-9d8c-60ec8adaea50')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'f228fcae-8e19-4a73-9d8c-60ec8adaea50')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'd1c0567e-ff1a-4cb7-a4f0-de28b2d99b63')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', 'd1c0567e-ff1a-4cb7-a4f0-de28b2d99b63')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', 'd1c0567e-ff1a-4cb7-a4f0-de28b2d99b63')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins
"('ecoinvent-3.4-biosphere', 'd7e798b0-18c9-495e-a590-e3fc7d5491ba')","Carboxylic acids, unspecified"
