0,1,2,3,4,5
"('ecoinvent-3.4-biosphere', 'feb606a8-c259-4169-9652-6b38467739f7')",Amidosulfuron,Amidosulfuron,C9H15N5O7S2,369.4,
"('ecoinvent-3.4-biosphere', 'feb606a8-c259-4169-9652-6b38467739f7')",Amidosulfuron,Amidosulfuron,C9H15N5O7S2,369.4,
"('ecoinvent-3.4-biosphere', '66288ede-0d82-4069-886a-d8b2f38f0128')",Imazethapyr,Imazethapyr,C15H19N3O3,289.33,
"('ecoinvent-3.4-biosphere', '66288ede-0d82-4069-886a-d8b2f38f0128')",Imazethapyr,Imazethapyr,C15H19N3O3,289.33,
"('ecoinvent-3.4-biosphere', '66288ede-0d82-4069-886a-d8b2f38f0128')",Imazethapyr,Imazethapyr,C15H19N3O3,289.33,
"('ecoinvent-3.4-biosphere', '56d00bcd-9da1-4486-bfe6-10dc0f1d4575')",Dimethylamine,Dimethylamine,C2H7N,45.08,
"('ecoinvent-3.4-biosphere', '56d00bcd-9da1-4486-bfe6-10dc0f1d4575')",Dimethylamine,Dimethylamine,C2H7N,45.08,
"('ecoinvent-3.4-biosphere', '56d00bcd-9da1-4486-bfe6-10dc0f1d4575')",Dimethylamine,Dimethylamine,C2H7N,45.08,
"('ecoinvent-3.4-biosphere', '52be5a94-fe48-4ec3-b694-44d08262bbad')",Glufosinate ammonium,Glufosinate ammonium,C5H15N2O4P,198.16,-0.0
"('ecoinvent-3.4-biosphere', '52be5a94-fe48-4ec3-b694-44d08262bbad')",Glufosinate ammonium,Glufosinate ammonium,C5H15N2O4P,198.16,-0.0
"('ecoinvent-3.4-biosphere', '52be5a94-fe48-4ec3-b694-44d08262bbad')",Glufosinate ammonium,Glufosinate ammonium,C5H15N2O4P,198.16,-0.0
"('ecoinvent-3.4-biosphere', '932d7913-eb64-484c-b2ec-7aae36e29017')",Cyanoacetic acid,Cyanoacetic acid,C3H3NO2,85.06,
"('ecoinvent-3.4-biosphere', '932d7913-eb64-484c-b2ec-7aae36e29017')",Cyanoacetic acid,Cyanoacetic acid,C3H3NO2,85.06,
"('ecoinvent-3.4-biosphere', '932d7913-eb64-484c-b2ec-7aae36e29017')",Cyanoacetic acid,Cyanoacetic acid,C3H3NO2,85.06,
"('ecoinvent-3.4-biosphere', '91d68678-7ed7-417a-86a7-a486c7b8a973')",Carfentrazone-ethyl,Carfentrazone-ethyl,C15H14Cl2F3N3O3,412.2,
"('ecoinvent-3.4-biosphere', '91d68678-7ed7-417a-86a7-a486c7b8a973')",Carfentrazone-ethyl,Carfentrazone-ethyl,C15H14Cl2F3N3O3,412.2,
"('ecoinvent-3.4-biosphere', '91d68678-7ed7-417a-86a7-a486c7b8a973')",Carfentrazone-ethyl,Carfentrazone-ethyl,C15H14Cl2F3N3O3,412.2,
"('ecoinvent-3.4-biosphere', '8b531ec0-ca7a-49cd-bef0-56f110112f34')",Molybdenum,Molybdenum,Mo,95.95,-1.653204348388365e-13
"('ecoinvent-3.4-biosphere', '8b531ec0-ca7a-49cd-bef0-56f110112f34')",Molybdenum,Molybdenum,Mo,95.95,-1.653204348388365e-13
"('ecoinvent-3.4-biosphere', '8b531ec0-ca7a-49cd-bef0-56f110112f34')",Molybdenum,Molybdenum,Mo,95.95,-1.653204348388365e-13
"('ecoinvent-3.4-biosphere', '521f6650-daec-4724-b40b-bf7fea17ceb2')",Fluosilicic acid,Fluosilicic acid,F6H2Si,144.091,
"('ecoinvent-3.4-biosphere', '521f6650-daec-4724-b40b-bf7fea17ceb2')",Fluosilicic acid,Fluosilicic acid,F6H2Si,144.091,
"('ecoinvent-3.4-biosphere', '521f6650-daec-4724-b40b-bf7fea17ceb2')",Fluosilicic acid,Fluosilicic acid,F6H2Si,144.091,
"('ecoinvent-3.4-biosphere', '16f40b1c-f7c8-4100-9916-81a260493951')",Sulfur,Sulfur,S,32.07,
"('ecoinvent-3.4-biosphere', '16f40b1c-f7c8-4100-9916-81a260493951')",Sulfur,Sulfur,S,32.07,
"('ecoinvent-3.4-biosphere', '16f40b1c-f7c8-4100-9916-81a260493951')",Sulfur,Sulfur,S,32.07,
"('ecoinvent-3.4-biosphere', '780e4e14-bd5b-408c-8304-0db2033561a7')",Lambda-cyhalothrin,Lambda-cyhalothrin,C23H19ClF3NO3,449.8,
"('ecoinvent-3.4-biosphere', '780e4e14-bd5b-408c-8304-0db2033561a7')",Lambda-cyhalothrin,Lambda-cyhalothrin,C23H19ClF3NO3,449.8,
"('ecoinvent-3.4-biosphere', '780e4e14-bd5b-408c-8304-0db2033561a7')",Lambda-cyhalothrin,Lambda-cyhalothrin,C23H19ClF3NO3,449.8,
"('ecoinvent-3.4-biosphere', '27b0b1f4-8cd4-4277-bfdd-1cab2f9c5e1c')",Fenbuconazole,Fenbuconazole,C19H17ClN4,336.8,
