,index,name,categories,type,unit,database,0
0,Score,,,,,,-1.9048759718104976e-13
2,Rest (-),,,,,,-1.2667949743720234e-16
21,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.4309722868025577e-16
22,"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.919931808390096e-16
23,"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.552247184491163e-16
24,"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.4829738381529073e-16
25,"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.3097348868654888e-16
26,"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.0474268138435223e-16
27,"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-9.477961700695899e-17
28,"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-7.527183926041802e-17
29,"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.852590556244929e-17
30,"Kaolinite, 24% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Kaolinite, 24% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.1144218509587786e-17
31,"Phosphorus, 18% in apatite, 4% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Phosphorus, 18% in apatite, 4% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.2610975156582663e-17
32,"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.2123527916820246e-17
33,"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.1689469703999926e-17
